"dates_filed","house_bill_no","full_title","short_title","republic_act_no","republic_act_title","significance","category","author","status","legislation","authorship","enacted_into_law","date_of_enactment"
2014-03-11,"HB04111","AN ACT IDENTIFYING OTHER PERSONS CRIMINALLY LIABLE FOR ELECTION OFFENSES AND INCREASING THE PENALTIES FOR ELECTION-RELATED OFFENSES, AMENDING SECTIONS 263 AND 264 OF BATAS PAMBANSA BILANG 881, AS AMENDED OR THE 'OMNIBUS ELECTION CODE OF THE PHILIPPINES', AND SECTION 46 OF REPUBLIC ACT NO. 8189 OR 'THE VOTER'S REGISTRATION ACT OF 1996'"," Identifying Other Persons Criminally Liable For Election Offenses And Increasing The Penalties For Election - Related Offenses",,,"National","RULES","RODRIGUEZ, RUFUS B.","Approved by the House on 2014-05-05, transmitted to the Senate on 2014-05-07 and received by the Senate on 2014-05-07","bill","co-author","no",
2014-03-11,"HB04112","AN ACT DECLARING THE TUESDAY IMMEDIATELY AFTER THE SECOND MONDAY OF MAY 2016 AND EVERY THREE (3) YEARS THEREAFTER A NON-WORKING HOLIDAY"," Declaring The Tuesday Immediately After The Second Monday Of May 2016 And Every Three (3) Years Thereafter A Non - Working Holiday",,,"National","RULES","SINGSON, RONALD V.","Approved by the House on 2014-05-05, transmitted to the Senate on 2014-05-07 and received by the Senate on 2014-05-07","bill","co-author","no",
2014-03-11,"HB04113","AN ACT INSTITUTIONALIZING CITIZENS PARTICIPATION IN THE BUDGET PROCESS"," People's Participation In Budget Deliberation Act",,,"National","RULES","PAEZ, CRESENTE C.","Pending With Rules (Included in OB on 2014-03-11)","bill","co-author","no",
2014-03-11,"HB04121","AN ACT DECLARING OCTOBER 24 OF EVERY YEAR A SPECIAL NONWORKING HOLIDAY IN THE MUNICIPALITY OF PILI, PROVINCE OF CAMARINES SUR IN COMMEMORATION OF THE FEAST DAY OF ITS PATRON SAINT, ST. RAPHAEL, THE ARCHANGEL, TO BE KNOWN AS THE 'MUNICIPALITY OF PILI DAY'"," Declaring October 24 Of Every Year A Special Nonworking Holiday In The Municipality Of Pili, Province Of Camarines Sur",,,"Local","RULES","GERONA-ROBREDO, MARIA LEONOR","Approved by the House on 2014-05-12, transmitted to the Senate on 2014-05-14 and received by the Senate on 2014-05-14","bill","primary author","no",
2014-03-11,"HB04130","AN ACT CONVERTING THE CALABANGA - TINAMBAC PROVINCIAL ROAD IN THE PROVINCE OF CAMARINES SUR INTO A NATIONAL ROAD AND APPROPRIATING FUNDS THEREFOR",,,,"Local","PUBLIC WORKS AND HIGHWAYS","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2014-03-12","bill","primary author","no",
2014-03-12,"HB04147","AN ACT RATIONALIZING AND STRENGTHENING THE PROBATION SYSTEM, AMENDING FOR THE PURPOSE THE PERTINENT PROVISIONS OF PRESIDENTIAL DECREE NO. 968, OTHERWISE KNOWN AS THE 'PROBATION LAW OF 1976', AS AMENDED"," Rationalizing And Strengthening The Probation System","RA10707"," AN ACT AMENDING PRESIDENTIAL DECREE NO. 968, OTHERWISE KNOWN AS THE ""PROBATION LAW OF 1976"", AS AMENDED","National","RULES","AGGABAO, GIORGIDI B.","Republic Act RA10707 enacted on 2015-11-26","bill","co-author","yes",2015-11-26
2014-03-12,"HB04180","AN ACT CONVERTING THE ALMEDA HIGHWAY IN NAGA CITY IN THE PROVINCE OF CAMARINES SUR INTO A NATIONAL ROAD AND APPROPRIATING FUNDS THEREEFOR",,,,"Local","PUBLIC WORKS AND HIGHWAYS","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2014-05-05","bill","primary author","no",
2014-03-17,"HB04214","AN ACT PROVIDING FOR THE RETENTION AND UTILIZATION OF THE INCOME DERIVED BY THE NATIONAL MUSEUM, AMENDING FOR THE PURPOSE SECTION 26 OF REPUBLIC ACT NO. 8492, OTHERWISE KNOWN AS THE NATIONAL MUSEUM ACT OF 1998"," Retention And Utilization Of The Income Derived By The National Museum",,,"National","RULES","BIAZON, RODOLFO G.","Approved by the House on 2014-05-19, transmitted to the Senate on 2014-05-21 and received by the Senate on 2014-05-21","bill","co-author","no",
2014-03-17,"HB04216","AN ACT PROMOTING SUSTAINABILITY IN THE PUBLIC PROCUREMENT PROCESS BY INCORPORATING POLICY IN  PROCUREMENT AND CONSIDERING ENVIRONMENTAL, SOCIAL AND ECONOMIC FACTORS AS ADDITIONAL CRITERIA FOR BIDDING AND FOR OTHER PURPOSES",,,,"National","APPROPRIATIONS","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on APPROPRIATIONS since 2014-05-05","bill","primary author","no",
2014-03-17,"HB04217","AN ACT DECLARING THE MT. ISAROG NATURAL PARK (MINP), IN THE PROVINCE OF CAMARINES SUR, AS A PROTECTED AREA, PROVIDING FOR ITS MANAGEMENT AND FOR OTHER PURPOSES",,,,"Local","NATURAL RESOURCES","GERONA-ROBREDO, MARIA LEONOR","Substituted by HB06328, Mother Bill Status: Unfinished Business (Period of Amendments)","bill","primary author","no",
2014-03-18,"HB04221","AN ACT CONVERTING THE PROVINCIAL ROAD TRAVERSING BARANGAY SIBA-O IN THE MUNICIPALITY OF CALABANGA AND BARANGAY CAROLINA IN NAGA CITY IN THE PROVINCE OF CAMARINES SUR INTO A NATIONAL ROAD AND APPROPRIATING FUNDS THEREFOR",,,,"Local","PUBLIC WORKS AND HIGHWAYS","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2014-05-05","bill","primary author","no",
2014-03-18,"HB04222","AN ACT CONVERTING THE PILI - BULA PROVINCIAL ROAD IN THE MUNICIPALITY OF PILI IN THE PROVINCE OF CAMARINES SUR INTO A NATIONAL ROAD AND APPROPRIATING FUNDS THEREFOR",,,,"Local","PUBLIC WORKS AND HIGHWAYS","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2014-05-05","bill","primary author","no",
2014-03-18,"HB04223","AN ACT CONVERTING THE PANICUASON - MALABSAY PROVINCIAL ROAD IN NAGA CITY IN THE PROVINCE OF CAMARINES SUR INTO A NATIONAL ROAD AND APPROPRIATING FUNDS THEREFOR",,,,"Local","PUBLIC WORKS AND HIGHWAYS","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2014-05-05","bill","primary author","no",
2014-03-18,"HB04224","AN ACT CONVERTING THE QUIPAYO - FABRICA - SIBA-O - LUGSAD - MANGUIRING PROVINCIAL ROAD IN THE MUNICIPALITY OF CALABANGA IN THE PROVINCE OF CAMARINES SUR INTO A NATIONAL ROAD AND APPROPRIATING FUNDS THEREFOR",,,,"Local","PUBLIC WORKS AND HIGHWAYS","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2014-05-05","bill","primary author","no",
2014-04-08,"HB04296","AN ACT MANDATING THE COMPLETION OF THE LAND ACQUISITION AND DISTRIBUTION (LAD) COMPONENT OF THE COMPREHENSIVE AGRARIAN REFORM PROGRAM (CARP) PURSUANT TO REPUBLIC ACT NO. 6657, OTHERWISE KNOWN AS THE 'COMPREHENSIVE AGRARIAN REFORM LAW,'AS AMENDED"," Mandating The Completion Of The Land Acquisition And Distribution ( L A D) Component Of The Comprehensive Agrarian Reform Program ( C A R P) Pursuant To Republic Act No. 6657",,,"National","AGRARIAN REFORM","PAEZ, CRESENTE C.","Business for the day on 2014-07-30, Mother Bill Status: Pending With Rules (Included in OB on 2014-06-09)","bill","co-author","no",
2014-05-08,"HB04375","AN ACT CREATING THE AGRARIAN REFORM COMMISSION TO INVESTIGATE CIRCUMVENTIONS AND VIOLATIONS OF REPUBLIC ACT 6657, OTHERWISE KNOWN AS THE COMPREHENSIVE AGRARIAN REFORM LAW OF 1988, AS AMENDED, REPUBLIC ACT 9700, AND OTHER AGRARIAN LAWS, AND APPROPRIATING FUNDS THEREFOR",,,,"National","AGRARIAN REFORM","BAG-AO, KAKA J.","Substituted by HB05841, Mother Bill Status: Business for the day on 2015-08-25","bill","co-author","no",
2014-05-12,"HB04382","AN ACT INSTITUTING A NATIONAL LAND USE AND MANAGEMENT POLICY, PROVIDING THE IMPLEMENTING MECHANISMS THEREFOR, AND FOR OTHER PURPOSES"," Instituting A National Land Use And Management Policy",,,"National","RULES","BAG-AO, KAKA J.","Approved by the House on 2014-06-02, transmitted to the Senate on 2014-06-04 and received by the Senate on 2014-06-04","bill","co-author","no",
2014-05-20,"HB04441","AN ACT PROVIDING FOR A MINIMUM MONTHLY NET TAKE-HOME PAY FOR ALL GOVERNMENT EMPLOYEES AFTER AUTHORIZED DEDUCTIONS",,,,"National","APPROPRIATIONS","OCAMPO, ROSENDA ANN","Under deliberation by the Mother Committee on 2014-06-04","bill","co-author","no",
2014-05-20,"HB04442","AN ACT MANDATING THE IMPOSITION OF PENALTY LOWER THAN THAT PRESCRIBED BY LAW IN CRIMINAL CASES, WHERE THE CIVIL CASE IS SETTLED THROUGH OR BY ALTERNATIVE DISPUTE RESOLUTION AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 9285"," Mandating The Imposition Of Penalty Lower Than That Prescribed By Law In Criminal Cases, Where The Civil Case Is Settled Through Or By Alternative Dispute Resolution",,,"National","RULES","ESCUDERO, EVELINA G.","Approved by the House on 2014-05-26, transmitted to the Senate on 2014-05-28 and received by the Senate on 2014-05-28","bill","co-author","no",
2014-05-20,"HB04444","AN ACT DECLARING EVERY JUNE 19 OF EVERY YEAR AS 'ARAW NG PAGSULAT', A SPECIAL WORKING HOLIDAY"," Declaring Every June 19 Of Every Year As ' Araw Ng Pagsulat'",,,"National","RULES","BATAOIL, LEOPOLDO N.","Approved by the House on 2014-05-26, transmitted to the Senate on 2014-05-28 and received by the Senate on 2014-05-28","bill","co-author","no",
2014-05-26,"HB04482","AN ACT TO DECLARE THE SECOND WEEK OF NOVEMBER OF EVERY YEAR AS ECONOMIC AND FINANCIAL LITERACY WEEK",,,,"National","ECONOMIC AFFAIRS","QUIMBO, ROMERO ""MIRO"" S.","Substituted by HB05452, Mother Bill Status: REPUBLIC ACT RA10922 (Lapsed into law on 2016-07-22)","bill","co-author","no",
2014-05-29,"HB04530","AN ACT ESTABLISHING AND PROVIDING FOR FREE COLLEGE EDUCATION IN INFORMATION AND COMMUNICATIONS TECHNOLOGY IN STATE COLLEGES AND UNIVERSITIES AND APPROPRIATING FUNDS THEREFOR"," Establishing And Providing For Free College Education In Information And Communications Technology In State Colleges And Universities",,,"National","RULES","DEL MAR, RAUL V.","Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2014-06-02,"HB04544","AN ACT PROVIDING FOR A REVISED ANTI-CARNAPPING ACT, REPEALING FOR THE PURPOSE REPUBLIC ACT NO. 6539, OTHERWISE KNOWN AS THE 'ANTI-CARNAPPING ACT OF 1972'"," Revised Anti- Carnapping Act",," AN ACT PROVIDING FOR A NEW ANTI-CARNAPPING LAW OF THE PHILIPPINES ","National","RULES","LACSON-NOEL, JOSEPHINE VERONIQUE R.","REPUBLIC ACT RA10883 (Lapsed into law on 2016-07-17)","bill","co-author","no",
2014-06-03,"HB04558","AN ACT ESTABLISHING SPECIAL EDUCATION (SPED) CENTERS FOR CHILDREN WITH SPECIAL NEEDS IN ALL PUBLIC SCHOOLS DIVISIONS, PROVIDING FOR STANDARDS AND GUIDELINES, AND APPROPRIATING FUNDS THEREFOR"," Establishing Special Education ( S P E D) Centers For Children With Special Needs In All Public Schools Divisions",,,"National","RULES","VILLARICA, LINABELLE RUTH R.","Approved by the House on 2014-06-09, transmitted to the Senate on 2014-06-10 and received by the Senate on 2014-06-10","bill","co-author","no",
2014-06-04,"HB04590","AN ACT PRESCRIBING THE PRINTING OF GRAPHIC HEALTH WARNINGS ON TOBACCO PRODUCTS"," Prescribing The Printing Of Graphic Health Warnings On Tobacco Products","RA10643"," AN ACT TO EFFECTIVELY INSTILL HEALTH CONSCIOUSNESS THROUGH GRAPHIC HEALTH WARNINGS ON TOBACCO PRODUCTS","National","RULES","TEODORO, MARCELINO R.","Republic Act RA10643 enacted on 2014-07-15","bill","co-author","yes",2014-07-15
2014-07-02,"HB04688","AN ACT PROVIDING FOR THE ACCREDITATION OF NON-GOVERNMENT ORGANIZATIONS AND PEOPLE'S ORGANIZATIONS ELIGIBLE TO ACCESS GOVERNMENT FUNDS AND FOR THE SYSTEM OF ACCOUNTABILITY AND TRANSPARENCY FOR THE USE OF THESE FUNDS"," Accreditation Of Non - Government Organizations And People's Organizations Eligible To Access Government Funds",,,"National","RULES","BRAWNER BAGUILAT, TEODORO JR.","Business for the day on 2014-08-06","bill","co-author","no",
2014-07-08,"HB04714","AN ACT PROHIBITING HAZING AND REGULATING OTHER FORMS OF INITIATION RITES OF FRATERNITIES, SORORITIES AND OTHER ORGANIZATIONS, AND PROVIDING PENALTIES FOR VIOLATION THEREOF, REPEALING FOR THE PURPOSE REPUBLIC ACT NO. 8049",,,,"National","REVISION OF LAWS","GATCHALIAN, SHERWIN T.","Substituted by HB05760, Mother Bill Status: Approved by the House on 2015-06-02, transmitted to the Senate on 2015-06-04 and received by the Senate on 2015-06-04","bill","co-author","no",
2014-07-17,"HB04744","AN ACT PROTECTING THE RIGHTS OF INTERNALLY DISPLACED PERSONS AND PENALIZING THE ACTS OF ARBITRARY INTERNAL DISPLACEMENT"," Protecting The Rights Of Internally Displaced Persons And Penalizing The Acts Of Arbitrary Internal Displacement",,,"National","RULES","RELAMPAGOS, RENE LOPEZ","Approved by the House on 2014-08-26, transmitted to the Senate on 2014-09-01 and received by the Senate on 2014-09-01","bill","co-author","no",
2014-08-27,"HB04911","AN ACT CREATING A SYSTEM OF PARTNERSHIP BETWEEN LOCAL GOVERNMENTS AND CIVIL SOCIETY ORGANIZATIONS THROUGH THE ESTABLISHMENT OF A PEOPLE'S COUNCIL IN EVERY LOCAL GOVERNMENT UNIT, PRESCRIBING ITS POWERS AND FUNCTIONS",,,,"National","LOCAL GOVERNMENT","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on  since 2014-09-02","bill","primary author","no",
2014-09-04,"HB04968","AN ACT APPROPRIATING FUNDS FOR THE OPERATION OF THE GOVERNMENT OF THE REPUBLIC OF THE PHILIPPINES FROM JANUARY ONE TO DECEMBER THIRTY-ONE, TWO THOUSAND AND FIFTEEN, AND FOR OTHER PURPOSES"," Appropriating Funds For The Operation Of The Government Of The Republic Of The Philippines From January One To December Thirty-one, Two Thousand And Fifteen","RA10651"," AN ACT APPROPRIATING FUNDS FOR THE OPERATION OF THE GOVERNMENT OF THE REPUBLIC OF THE PHILIPPINES FROM JANUARY ONE TO DECEMBER THIRTY ONE, TWO THOUSAND AND FIFTEEN, AND FOR OTHER PURPOSES","National","APPROPRIATIONS","UNGAB, ISIDRO T.","Republic Act RA10651 enacted on 2014-12-23","bill","co-author","yes",2014-12-23
2014-09-15,"HB05005","AN ACT PROVIDING BENEFITS TO BARANGAY VOLUNTEER WORKERS",,,,"National","LOCAL GOVERNMENT","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on LOCAL GOVERNMENT since 2014-09-17","bill","primary author","no",
2014-09-17,"HB05023","AN ACT REQUIRING THE PHILIPPINE POSTAL CORPORATION TO ISSUE POSTAGE STAMPS DEPICTING PHILIPPINE TOURIST SPOTS, TO BE AFFIXED ON ALL INTERNATIONAL MAIL TO ATTRACT FOREIGN TOURISTS"," Requiring The Philippine Postal Corporation To Issue Postage Stamps Depicting Philippine Tourist Spots, To Be Affixed On All International Mail To Attract Foreign Tourists",,,"National","RULES","OLIVAREZ, ERIC D.","Approved by the House on 2014-10-29, transmitted to the Senate on 2014-11-03 and received by the Senate on 2014-11-03","bill","co-author","no",
2014-09-17,"HB05024","AN ACT STRENGTHENING THE PHILIPPINE CROP INSURANCE CORPORATION (PCIC), AMENDING FOR THE PURPOSE PRESIDENTIAL DECREE NO. 1467, AS AMENDED, OTHERWISE KNOWN AS THE CHARTER OF THE PHILIPPINE CROP INSURANCE CORPORATION"," Strengthening The Philippine Crop Insurance Corporation ( P C I C)",,,"National","RULES","YAP, ARTHUR CUA","Approved by the House on 2014-10-29, transmitted to the Senate on 2014-11-03 and received by the Senate on 2014-11-03","bill","co-author","no",
2014-11-03,"HB05178","AN ACT STRENGTHENING THE PHILIPPINE COMPREHENSIVE POLICY ON HUMAN IMMUNODEFICIENCY VIRUS (HIV) AND ACQUIRED IMMUNE DEFICIENCY SYNDROME (AIDS) PREVENTION, TREATMENT, CARE AND SUPPORT, AND ESTABLISHING THE PHILIPPINE NATIONAL HIV AND AIDS PLAN, REPEALING FOR THE PURPOSE REPUBLIC ACT NO. 8504, OTHERWISE KNOWN AS THE 'PHILIPPINE AIDS PREVENTION AND CONTROL ACT OF 1998,' AND APPROPRIATING FUNDS THEREFOR",,,,"National","RULES","MERCADO-REVILLA, LANI","Approved by the House on 2014-12-01, transmitted to the Senate on 2014-12-03 and received by the Senate on 2014-12-03","bill","co-author","no",
2014-12-10,"HB05280","AN ACT DECRIMINALIZING PREMATURE MARRIAGES, REPEALING FOR THE PURPOSE ARTICLE 351 OF ACT NO. 3815, AS AMENDED, OTHERWISE KNOWN AS THE REVISE3D PENAL CODE"," Decriminalizing Premature Marriages","RA10655"," AN ACT REPEALING THE CRIME OF PREMATURE MARRIAGE UNDER ARTICLE 351 OF ACT NO. 3815, OTHERWISE KNOWN AS THE REVISED PENAL CODE","National","RULES","ROMUALDO, XAVIER JESUS ""XJ"" D.; GUTIERREZ, IBARRA III M.; BELLO, WALDEN","Republic Act RA10655 enacted on 2015-03-13","bill","co-author","yes",2015-03-13
2015-01-21,"HB05347","AN ACT PROMOTING/ADVOCATING MENTAL HEALTH, PROMULGATING A NATIONAL MENTAL HEALTH POLICY TOWARDS THE ENHANCEMENT OF INTEGRATED MENTAL HEALTH SERVICES, THE PROMOTION AND PROTECTION OF PERSONS UTILIZING MENTAL HEALTH SERVICES AND THE ESTABLISHMENT OF A PHILIPPINE MENTAL HEALTH COUNCIL",,,,"National","HEALTH","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on HEALTH since 2015-01-27","bill","primary author","no",
2015-02-05,"HB05411","AN ACT STRENGTHENING THE RIGHT OF THE PEOPLE TO FREE EXPRESSION, TO PEACEABLY ASSEMBLE AND TO PETITION THE GOVERNMENT FOR REDRESS OF GRIEVANCES, REPEALING FOR THE PURPOSE BATAS PAMBANSA BLG. 880 OR THE ""PUBLIC ASSEMBLY ACT OF 1985"""," Strengthening The Right Of The People To Free Expression, To Peaceably Assemble And To Petition The Government For Redress Of Grievances",,,"National","RULES","GUTIERREZ, IBARRA III M.","Business for the day on 2015-08-25","bill","co-author","no",
2015-02-05,"HB05412","AN ACT MAKING ELECTION SERVICE NON-COMPULSORY FOR PUBLIC SCHOOL TEACHERS, PROVIDING FOR COMPENSATION AND OTHER BENEFITS"," Making Election Service Non - Compulsory For Public School Teachers","RA10756"," AN ACT RENDERING ELECTION SERVICE NON-COMPULSORY FOR PUBLIC SCHOOL TEACHERS, AUTHORIZING THE APPOINTMENT OF OTHER QUALIFIED CITIZENS, PROVIDING FOR COMPENSATION AND OTHER BENEFITS","National","RULES","TINIO, ANTONIO L.; REYES, REGINA ONGSIAKO","Republic Act RA10756 enacted on 2016-04-08","bill","co-author","yes",2016-04-08
2015-02-10,"HB05442","AN ACT CREATING THE CITIZENS' COMMISSION FOR JUSTICE IN MAMASAPANO, WITH PLENARY POWERS TO INVESTIGATE AND REPORT ON THE 25 JANUARY 2015 POLICE OPERATION AND ITS AFTERMATH IN MAMASAPANO, MAGUINDANAO",,,,"National","RULES","TURABIN-HATAMAN, SITTI DJALIA A.","Pending with the Committee on RULES since 2015-02-17","bill","co-author","no",
2015-02-12,"HB05452","AN ACT DECLARING THE SECOND WEEK OF NOVEMBER OF EVERY YEAR AS ECONOMIC AND FINANCIAL LITERACY WEEK"," Declaring The Second Week Of November Of Every Year As Economic And Financial Literacy Week",," AN ACT DECLARING THE SECOND WEEK OF NOVEMBER OF EVERY YEAR AS ECONOMIC AND FINANCIAL LITERACY WEEK","National","RULES","QUIMBO, ROMERO ""MIRO"" S.; GERONA-ROBREDO, MARIA LEONOR; BATOCABE, RODEL M.; BELMONTE, JOSE CHRISTOPHER Y.; VARGAS, ALFREDO III D.; ROMULO, ROMAN T.","REPUBLIC ACT RA10922 (Lapsed into law on 2016-07-22)","bill","primary author","no",
2015-02-26,"HB05502","AN ACT ENSURING THE FUNDAMENTAL EQUALITY OF MEN AND WOMEN, AMENDING FOR THE PURPOSE ARTICLES 14, 96, 124, 211 AND 215 OF EXECUTIVE ORDER NO. 209 OTHERWISE KNOWN AS THE FAMILY CODE OF THE PHILIPPINES"," Ensuring The Fundamental Equality Of Men And Women, Amending For The Purpose Articles 14, 96, 124, 211 And 215 Of Executive Order No. 209 Otherwise Known As The Family Code Of The Philippines",,,"National","RULES","ABAD, HENEDINA R.","Pending With Rules (Included in OB on 2015-03-02)","bill","co-author","no",
2015-03-12,"HB05572","AN ACT PROVIDING STRONGER MEASURES AGAINST UNLAWFUL PRACTICES, BUSINESSES AND SCHEMES OF MATCHING AND OFFERING FILIPINOS TO FOREIGN NATIONALS FOR PURPOSES OF MARRIAGE OR COMMON LAW PARTNERSHIP REPEALING FOR THE PURPOSE REPUBLIC ACT NO. 6955, ALSO REFERRED TO AS THE 'ANTI-MAIL ORDER BRIDE LAW'"," Providing Stronger Measures Against Unlawful Practices, Businesses And Schemes Of Matching And Offering Filipinos To Foreign Nationals For Purposes Of Marriage Or Common Law Partnership",," AN ACT PROVIDING STRONGER MEASURES AGAINST UNLAWFUL PRACTICES, BUSINESSES AND SCHEMES OF MATCHING AND OFFERING FILIPINOS TO FOREIGN NATIONALS FOR PURPOSES OF MARRIAGE OR COMMON LAW PARTNERSHIP, REPEALING FOR THE PURPOSE REPUBLIC ACT NO. 6955, ALSO REFERRED TO AS THE ""ANTI-MAIL ORDER BRIDE LAW""","National","RULES","CRUZ-GONZALES, CINCHONA; VARGAS, ALFREDO III D.","REPUBLIC ACT RA10906 (Lapsed into law on 2016-07-21)","bill","co-author","no",
2015-03-24,"HB05629","AN ACT TO ADDRESS POVERTY IN THE COCONUT SECTOR BY ESTABLISHING THE COCONUT FARMERS' TRUST FUND, PROVIDING FOR THE MANAGEMENT THEREOF, AND FOR OTHER PURPOSES",,,,"National","AGRICULTURE AND FOOD","SATO, JOSEPHINE R.","Substituted by HB06135, Mother Bill Status: Approved by the House on 2015-10-09, transmitted to the Senate on 2015-10-15 and received by the Senate on 2015-10-15","bill","co-author","no",
2015-04-14,"HB05663","AN ACT EXPANDING THE DEFINITION OF SEXUAL HARASSMENT, STRENGTHENING THE MECHANISMS TO MONITOR COMPLIANCE WITH POLICIES AGAINST SEXUAL HARASSMENT IN THE WORKPLACE AND IN EDUCATIONAL AND TRAINING INSTITUTIONS, AND PRESCRIBING PENALTIES FOR VIOLATIONS THEREOF, REPEALING FOR THE PURPOSE REPUBLIC ACT NO. 7877, ALSO REFERRED TO AS THE 'ANTI-SEXUAL HARASSMENT ACT OF 1995'"," Expanding The Definition Of Sexual Harassment, Strengthening The Mechanisms To Monitor Compliance With Policies Against Sexual Harassment In The Workplace And In Educational And Training Institutions, And Prescribing Penalties For Violations Thereof",,,"National","RULES","DE JESUS, EMMI A.; ILAGAN, LUZVIMINDA C.; HICAP, FERNANDO L.; ZARATE, CARLOS ISAGANI T.; COLMENARES, NERI; RIDON, JAMES MARK TERRY L.; TINIO, ANTONIO L.; ANDAYA, ROLANDO JR. G.","Approved by the House on 2015-05-19, transmitted to the Senate on 2015-05-21 and received by the Senate on 2015-05-21","bill","co-author","no",
2015-04-20,"HB05675","AN ACT DEFINING ELECTRONIC VIOLENCE AGAINST WOMEN AND THEIR CHILDREN, PROVIDING PROTECTIVE MEASURES, AND PRESCRIBING PENALTIES, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 9262 OTHERWISE KNOWN AS THE ANTI-VIOLENCE AGAINST WOMEN AND THEIR CHILDREN ACT OF 2004"," Defining Electronic Violence Against Women And Their Children, Providing Protective Measures, And Prescribing Penalties",,,"National","RULES","DE JESUS, EMMI A.; ILAGAN, LUZVIMINDA C.; ABAYON, HARLIN C.; TAMBUNTING, GUS S.","Approved by the House on 2015-05-19, transmitted to the Senate on 2015-05-21 and received by the Senate on 2015-05-21","bill","co-author","no",
2015-04-23,"HB05687","AN ACT PROHIBITING DISCRIMINATION ON THE BASIS OF SEXUAL ORIENTATION OR GENDER IDENTITY (SOGI) AND PROVIDING PENALTIES THEREFOR"," Prohibiting Discrimination On The Basis Of Sexual Orientation Or Gender Identity ( S O G I)",,,"National","RULES","BAG-AO, KAKA J.","Pending With Rules (Included in OB on 2015-05-04)","bill","co-author","no",
2015-05-13,"HB05760","AN ACT PROHIBITING HAZING AND REGULATING OTHER FORMS OF INITIATION RITES OF FRATERNITIES, SORORITIES, AND OTHER ORGANIZATIONS, AND PROVIDING PENALTIES FOR VIOLATION THEREOF, REPEALING FOR THE PURPOSE REPUBLIC ACT NO. 8049"," Prohibiting Hazing And Regulating Other Forms Of Initiation Rites Of Fraternities, Sororities, And Other Organizations",,,"National","RULES","GATCHALIAN, SHERWIN T.; CO, CHRISTOPHER S.; BATOCABE, RODEL M.; RODRIGUEZ, RUFUS B.; RODRIGUEZ, MAXIMO JR. B.; CHIPECO, JOAQUIN JR. M.; LEONARDIA, EVELIO ""BING""; BARCELONA-REYES, CATHERINE M.D.","Approved by the House on 2015-06-02, transmitted to the Senate on 2015-06-04 and received by the Senate on 2015-06-04","bill","co-author","no",
2015-05-20,"HB05785","AN ACT ESTABLISHING A COMPREHENSIVE SYSTEM FOR REGISTRATION AND LICENSING OF SOCIAL WELFARE AND DEVELOPMENT AGENCIES AND ACCREDITATION OF SOCIAL WELFARE AND DEVELOPMENT PROGRAMS AND SERVICES, AND APPROPRIATING FUNDS THEREFOR"," Establishing A Comprehensive System For Registration And Licensing Of Social Welfare And Development Agencies And Accreditation Of Social Welfare And Development Programs And Services",,,"National","RULES","PAEZ, CRESENTE C.; BRAVO, ANTHONY M.","Approved by the House on 2015-08-10, transmitted to the Senate on 2015-08-12 and received by the Senate on 2015-08-12","bill","co-author","no",
2015-05-25,"HB05801","AN ACT STRENGTHENING THE RIGHT OF CITIZENS TO INFORMATION HELD BY THE GOVERNMENT"," Strengthening The Right Of Citizens To Information Held By The Government",,,"National","RULES","DEL MAR, RAUL V.","Pending With Rules (Included in OB on 2015-06-01)","bill","co-author","no",
2015-06-02,"HB05829","AN ACT DECLARING THE MONTH OF OCTOBER OF EVERY YEAR AS 'BREAST CANCER AWARENESS MONTH' AND FOR OTHER PURPOSES",,,,"National","HEALTH","GERONA-ROBREDO, MARIA LEONOR","Pending with the Committee on HEALTH since 2015-06-03","bill","primary author","no",
